time,alive_grass,alive_herbivores,alive_predators,herbivore_hp_pool,predator_hp_pool,predator_mana,herbivore_mana,total_creature_mana,corpse_mana,field_mana,attack_gain,magic_gain,grass_gain,field_gain,corpse_gain,mana_spent,death_release,expected_phase_ups
35.0,100,1,10,12.0,550.0,3024.7000000000003,135.0,3159.7000000000003,0.0,3515.0,1038.0,0.0,0.0,750.0,0.0,363.30000000000007,3265.0,0.15000000000000002
36.0,100,1,10,6.0,550.0,3038.6000000000004,136.0,3174.6000000000004,0.0,3504.0,1044.0,0.0,0.0,761.0,0.0,365.4000000000001,3265.0,0.15000000000000002
37.0,100,0,10,0.0,550.0,3052.5000000000005,0.0,3052.5000000000005,0.0,3630.0,1050.0,0.0,0.0,771.0,0.0,367.5000000000001,3401.0,0.15000000000000002
38.0,100,0,10,0.0,550.0,3062.5000000000005,0.0,3062.5000000000005,0.0,3620.0,1050.0,0.0,0.0,781.0,0.0,367.5000000000001,3401.0,0.15000000000000002
39.0,100,0,10,0.0,550.0,3072.5000000000005,0.0,3072.5000000000005,0.0,3610.0,1050.0,0.0,0.0,791.0,0.0,367.5000000000001,3401.0,0.15000000000000002
40.0,100,0,10,0.0,550.0,3082.5000000000005,0.0,3082.5000000000005,0.0,3600.0,1050.0,0.0,0.0,801.0,0.0,367.5000000000001,3401.0,0.2
41.0,100,0,10,0.0,550.0,3092.5000000000005,0.0,3092.5000000000005,0.0,3590.0,1050.0,0.0,0.0,811.0,0.0,367.5000000000001,3401.0,0.2
42.0,100,0,10,0.0,550.0,3102.5000000000005,0.0,3102.5000000000005,0.0,3580.0,1050.0,0.0,0.0,821.0,0.0,367.5000000000001,3401.0,0.2
43.0,100,0,10,0.0,550.0,3112.5000000000005,0.0,3112.5000000000005,0.0,3570.0,1050.0,0.0,0.0,831.0,0.0,367.5000000000001,3401.0,0.2
44.0,100,0,10,0.0,550.0,3122.5000000000005,0.0,3122.5000000000005,0.0,3560.0,1050.0,0.0,0.0,841.0,0.0,367.5000000000001,3401.0,0.2
45.0,100,0,10,0.0,550.0,3132.5000000000005,0.0,3132.5000000000005,0.0,3550.0,1050.0,0.0,0.0,851.0,0.0,367.5000000000001,3401.0,0.2
46.0,100,0,10,0.0,550.0,3142.5000000000005,0.0,3142.5000000000005,0.0,3540.0,1050.0,0.0,0.0,861.0,0.0,367.5000000000001,3401.0,0.2
47.0,100,0,10,0.0,550.0,3152.5000000000005,0.0,3152.5000000000005,0.0,3530.0,1050.0,0.0,0.0,871.0,0.0,367.5000000000001,3401.0,0.2
48.0,100,0,10,0.0,550.0,3162.5000000000005,0.0,3162.5000000000005,0.0,3520.0,1050.0,0.0,0.0,881.0,0.0,367.5000000000001,3401.0,0.2
49.0,100,0,10,0.0,550.0,3172.5000000000005,0.0,3172.5000000000005,0.0,3510.0,1050.0,0.0,0.0,891.0,0.0,367.5000000000001,3401.0,0.2
50.0,100,0,10,0.0,550.0,3182.5000000000005,0.0,3182.5000000000005,0.0,3500.0,1050.0,0.0,0.0,901.0,0.0,367.5000000000001,3401.0,0.25
51.0,100,0,10,0.0,550.0,3192.5000000000005,0.0,3192.5000000000005,0.0,3490.0,1050.0,0.0,0.0,911.0,0.0,367.5000000000001,3401.0,0.25
52.0,100,0,10,0.0,550.0,3202.5000000000005,0.0,3202.5000000000005,0.0,3480.0,1050.0,0.0,0.0,921.0,0.0,367.5000000000001,3401.0,0.25
53.0,100,0,10,0.0,550.0,3212.5000000000005,0.0,3212.5000000000005,0.0,3470.0,1050.0,0.0,0.0,931.0,0.0,367.5000000000001,3401.0,0.25
54.0,100,0,10,0.0,550.0,3222.5000000000005,0.0,3222.5000000000005,0.0,3460.0,1050.0,0.0,0.0,941.0,0.0,367.5000000000001,3401.0,0.25
55.0,100,0,10,0.0,550.0,3232.5000000000005,0.0,3232.5000000000005,0.0,3450.0,1050.0,0.0,0.0,951.0,0.0,367.5000000000001,3401.0,0.25
56.0,100,0,10,0.0,550.0,3242.5000000000005,0.0,3242.5000000000005,0.0,3440.0,1050.0,0.0,0.0,961.0,0.0,367.5000000000001,3401.0,0.25
57.0,100,0,10,0.0,550.0,3252.5000000000005,0.0,3252.5000000000005,0.0,3430.0,1050.0,0.0,0.0,971.0,0.0,367.5000000000001,3401.0,0.25
58.0,100,0,10,0.0,550.0,3262.5000000000005,0.0,3262.5000000000005,0.0,3420.0,1050.0,0.0,0.0,981.0,0.0,367.5000000000001,3401.0,0.25
59.0,100,0,10,0.0,550.0,3272.5000000000005,0.0,3272.5000000000005,0.0,3410.0,1050.0,0.0,0.0,991.0,0.0,367.5000000000001,3401.0,0.25
60.0,100,0,10,0.0,550.0,3282.5000000000005,0.0,3282.5000000000005,0.0,3400.0,1050.0,0.0,0.0,1001.0,0.0,367.5000000000001,3401.0,0.3
61.0,100,0,10,0.0,550.0,3292.5000000000005,0.0,3292.5000000000005,0.0,3390.0,1050.0,0.0,0.0,1011.0,0.0,367.5000000000001,3401.0,0.3
62.0,100,0,10,0.0,550.0,3302.5000000000005,0.0,3302.5000000000005,0.0,3380.0,1050.0,0.0,0.0,1021.0,0.0,367.5000000000001,3401.0,0.3
63.0,100,0,10,0.0,550.0,3312.5000000000005,0.0,3312.5000000000005,0.0,3370.0,1050.0,0.0,0.0,1031.0,0.0,367.5000000000001,3401.0,0.3
64.0,100,0,10,0.0,550.0,3322.5000000000005,0.0,3322.5000000000005,0.0,3360.0,1050.0,0.0,0.0,1041.0,0.0,367.5000000000001,3401.0,0.3
65.0,100,0,10,0.0,550.0,3332.5000000000005,0.0,3332.5000000000005,0.0,3350.0,1050.0,0.0,0.0,1051.0,0.0,367.5000000000001,3401.0,0.3
66.0,100,0,10,0.0,550.0,3342.5000000000005,0.0,3342.5000000000005,0.0,3340.0,1050.0,0.0,0.0,1061.0,0.0,367.5000000000001,3401.0,0.3
67.0,100,0,10,0.0,550.0,3352.5000000000005,0.0,3352.5000000000005,0.0,3330.0,1050.0,0.0,0.0,1071.0,0.0,367.5000000000001,3401.0,0.3
68.0,100,0,10,0.0,550.0,3362.5000000000005,0.0,3362.5000000000005,0.0,3320.0,1050.0,0.0,0.0,1081.0,0.0,367.5000000000001,3401.0,0.3
69.0,100,0,10,0.0,550.0,3372.5000000000005,0.0,3372.5000000000005,0.0,3310.0,1050.0,0.0,0.0,1091.0,0.0,367.5000000000001,3401.0,0.3
70.0,100,0,10,0.0,550.0,3382.5000000000005,0.0,3382.5000000000005,0.0,3300.0,1050.0,0.0,0.0,1101.0,0.0,367.5000000000001,3401.0,0.35
71.0,100,0,10,0.0,550.0,3392.5000000000005,0.0,3392.5000000000005,0.0,3290.0,1050.0,0.0,0.0,1111.0,0.0,367.5000000000001,3401.0,0.35
72.0,100,0,10,0.0,550.0,3402.5000000000005,0.0,3402.5000000000005,0.0,3280.0,1050.0,0.0,0.0,1121.0,0.0,367.5000000000001,3401.0,0.35
73.0,100,0,10,0.0,550.0,3412.5000000000005,0.0,3412.5000000000005,0.0,3270.0,1050.0,0.0,0.0,1131.0,0.0,367.5000000000001,3401.0,0.35
74.0,100,0,10,0.0,550.0,3422.5000000000005,0.0,3422.5000000000005,0.0,3260.0,1050.0,0.0,0.0,1141.0,0.0,367.5000000000001,3401.0,0.35
75.0,100,0,10,0.0,550.0,3432.5000000000005,0.0,3432.5000000000005,0.0,3250.0,1050.0,0.0,0.0,1151.0,0.0,367.5000000000001,3401.0,0.35
76.0,100,0,10,0.0,550.0,3442.5000000000005,0.0,3442.5000000000005,0.0,3240.0,1050.0,0.0,0.0,1161.0,0.0,367.5000000000001,3401.0,0.35
77.0,100,0,10,0.0,550.0,3452.5000000000005,0.0,3452.5000000000005,0.0,3230.0,1050.0,0.0,0.0,1171.0,0.0,367.5000000000001,3401.0,0.35
78.0,100,0,10,0.0,550.0,3462.5000000000005,0.0,3462.5000000000005,0.0,3220.0,1050.0,0.0,0.0,1181.0,0.0,367.5000000000001,3401.0,0.35
79.0,100,0,10,0.0,550.0,3472.5000000000005,0.0,3472.5000000000005,0.0,3210.0,1050.0,0.0,0.0,1191.0,0.0,367.5000000000001,3401.0,0.35
80.0,100,0,10,0.0,550.0,3482.5000000000005,0.0,3482.5000000000005,0.0,3200.0,1050.0,0.0,0.0,1201.0,0.0,367.5000000000001,3401.0,0.39999999999999997
81.0,100,0,10,0.0,550.0,3492.5000000000005,0.0,3492.5000000000005,0.0,3190.0,1050.0,0.0,0.0,1211.0,0.0,367.5000000000001,3401.0,0.39999999999999997
82.0,100,0,10,0.0,550.0,3502.5000000000005,0.0,3502.5000000000005,0.0,3180.0,1050.0,0.0,0.0,1221.0,0.0,367.5000000000001,3401.0,0.39999999999999997
83.0,100,0,10,0.0,550.0,3512.5000000000005,0.0,3512.5000000000005,0.0,3170.0,1050.0,0.0,0.0,1231.0,0.0,367.5000000000001,3401.0,0.39999999999999997
84.0,100,0,10,0.0,550.0,3522.5000000000005,0.0,3522.5000000000005,0.0,3160.0,1050.0,0.0,0.0,1241.0,0.0,367.5000000000001,3401.0,0.39999999999999997
85.0,100,0,10,0.0,550.0,3532.5000000000005,0.0,3532.5000000000005,0.0,3150.0,1050.0,0.0,0.0,1251.0,0.0,367.5000000000001,3401.0,0.39999999999999997
86.0,100,0,10,0.0,550.0,3542.5000000000005,0.0,3542.5000000000005,0.0,3140.0,1050.0,0.0,0.0,1261.0,0.0,367.5000000000001,3401.0,0.39999999999999997
87.0,100,0,10,0.0,550.0,3552.5000000000005,0.0,3552.5000000000005,0.0,3130.0,1050.0,0.0,0.0,1271.0,0.0,367.5000000000001,3401.0,0.39999999999999997
88.0,100,0,10,0.0,550.0,3562.5000000000005,0.0,3562.5000000000005,0.0,3120.0,1050.0,0.0,0.0,1281.0,0.0,367.5000000000001,3401.0,0.39999999999999997
89.0,100,0,10,0.0,550.0,3572.5000000000005,0.0,3572.5000000000005,0.0,3110.0,1050.0,0.0,0.0,1291.0,0.0,367.5000000000001,3401.0,0.39999999999999997
90.0,100,0,10,0.0,550.0,3582.5000000000005,0.0,3582.5000000000005,0.0,3100.0,1050.0,0.0,0.0,1301.0,0.0,367.5000000000001,3401.0,0.44999999999999996
91.0,100,0,10,0.0,550.0,3592.5000000000005,0.0,3592.5000000000005,0.0,3090.0,1050.0,0.0,0.0,1311.0,0.0,367.5000000000001,3401.0,0.44999999999999996
92.0,100,0,10,0.0,550.0,3602.5000000000005,0.0,3602.5000000000005,0.0,3080.0,1050.0,0.0,0.0,1321.0,0.0,367.5000000000001,3401.0,0.44999999999999996
93.0,100,0,10,0.0,550.0,3612.5000000000005,0.0,3612.5000000000005,0.0,3070.0,1050.0,0.0,0.0,1331.0,0.0,367.5000000000001,3401.0,0.44999999999999996
94.0,100,0,10,0.0,550.0,3622.5000000000005,0.0,3622.5000000000005,0.0,3060.0,1050.0,0.0,0.0,1341.0,0.0,367.5000000000001,3401.0,0.44999999999999996
95.0,100,0,10,0.0,550.0,3632.5000000000005,0.0,3632.5000000000005,0.0,3050.0,1050.0,0.0,0.0,1351.0,0.0,367.5000000000001,3401.0,0.44999999999999996
96.0,100,0,10,0.0,550.0,3642.5000000000005,0.0,3642.5000000000005,0.0,3040.0,1050.0,0.0,0.0,1361.0,0.0,367.5000000000001,3401.0,0.44999999999999996
97.0,100,0,10,0.0,550.0,3652.5000000000005,0.0,3652.5000000000005,0.0,3030.0,1050.0,0.0,0.0,1371.0,0.0,367.5000000000001,3401.0,0.44999999999999996
98.0,100,0,10,0.0,550.0,3662.5000000000005,0.0,3662.5000000000005,0.0,3020.0,1050.0,0.0,0.0,1381.0,0.0,367.5000000000001,3401.0,0.44999999999999996
99.0,100,0,10,0.0,550.0,3672.5000000000005,0.0,3672.5000000000005,0.0,3010.0,1050.0,0.0,0.0,1391.0,0.0,367.5000000000001,3401.0,0.44999999999999996
100.0,100,0,10,0.0,550.0,3682.5000000000005,0.0,3682.5000000000005,0.0,3000.0,1050.0,0.0,0.0,1401.0,0.0,367.5000000000001,3401.0,0.49999999999999994
101.0,100,0,10,0.0,550.0,3692.5000000000005,0.0,3692.5000000000005,0.0,2990.0,1050.0,0.0,0.0,1411.0,0.0,367.5000000000001,3401.0,0.49999999999999994
102.0,100,0,10,0.0,550.0,3702.5000000000005,0.0,3702.5000000000005,0.0,2980.0,1050.0,0.0,0.0,1421.0,0.0,367.5000000000001,3401.0,0.49999999999999994
103.0,100,0,10,0.0,550.0,3712.5000000000005,0.0,3712.5000000000005,0.0,2970.0,1050.0,0.0,0.0,1431.0,0.0,367.5000000000001,3401.0,0.49999999999999994
104.0,100,0,10,0.0,550.0,3722.5000000000005,0.0,3722.5000000000005,0.0,2960.0,1050.0,0.0,0.0,1441.0,0.0,367.5000000000001,3401.0,0.49999999999999994
105.0,100,0,10,0.0,550.0,3732.5000000000005,0.0,3732.5000000000005,0.0,2950.0,1050.0,0.0,0.0,1451.0,0.0,367.5000000000001,3401.0,0.49999999999999994
106.0,100,0,10,0.0,550.0,3742.5000000000005,0.0,3742.5000000000005,0.0,2940.0,1050.0,0.0,0.0,1461.0,0.0,367.5000000000001,3401.0,0.49999999999999994
107.0,100,0,10,0.0,550.0,3752.5000000000005,0.0,3752.5000000000005,0.0,2930.0,1050.0,0.0,0.0,1471.0,0.0,367.5000000000001,3401.0,0.49999999999999994
108.0,100,0,10,0.0,550.0,3762.5000000000005,0.0,3762.5000000000005,0.0,2920.0,1050.0,0.0,0.0,1481.0,0.0,367.5000000000001,3401.0,0.49999999999999994
109.0,100,0,10,0.0,550.0,3772.5000000000005,0.0,3772.5000000000005,0.0,2910.0,1050.0,0.0,0.0,1491.0,0.0,367.5000000000001,3401.0,0.49999999999999994
110.0,100,0,10,0.0,550.0,3782.5000000000005,0.0,3782.5000000000005,0.0,2900.0,1050.0,0.0,0.0,1501.0,0.0,367.5000000000001,3401.0,0.5499999999999999
111.0,100,0,10,0.0,550.0,3792.5000000000005,0.0,3792.5000000000005,0.0,2890.0,1050.0,0.0,0.0,1511.0,0.0,367.5000000000001,3401.0,0.5499999999999999
112.0,100,0,10,0.0,550.0,3802.5000000000005,0.0,3802.5000000000005,0.0,2880.0,1050.0,0.0,0.0,1521.0,0.0,367.5000000000001,3401.0,0.5499999999999999
