time,alive_grass,alive_herbivores,alive_predators,herbivore_hp_pool,predator_hp_pool,predator_mana,herbivore_mana,total_creature_mana,corpse_mana,field_mana,attack_gain,magic_gain,grass_gain,field_gain,corpse_gain,mana_spent,death_release,expected_phase_ups
35.0,100,1,10,12.0,550.0,2674.7000000000003,100.0,2774.7000000000003,0.0,2900.0,1038.0,0.0,0.0,0.0,0.0,363.30000000000007,2900.0,0.15000000000000002
36.0,100,1,10,6.0,550.0,2678.6000000000004,100.0,2778.6000000000004,0.0,2900.0,1044.0,0.0,0.0,0.0,0.0,365.4000000000001,2900.0,0.15000000000000002
37.0,100,0,10,0.0,550.0,2682.5000000000005,0.0,2682.5000000000005,0.0,3000.0,1050.0,0.0,0.0,0.0,0.0,367.5000000000001,3000.0,0.15000000000000002
38.0,100,0,10,0.0,550.0,2682.5000000000005,0.0,2682.5000000000005,0.0,3000.0,1050.0,0.0,0.0,0.0,0.0,367.5000000000001,3000.0,0.15000000000000002
39.0,100,0,10,0.0,550.0,2682.5000000000005,0.0,2682.5000000000005,0.0,3000.0,1050.0,0.0,0.0,0.0,0.0,367.5000000000001,3000.0,0.15000000000000002
40.0,100,0,10,0.0,550.0,2682.5000000000005,0.0,2682.5000000000005,0.0,3000.0,1050.0,0.0,0.0,0.0,0.0,367.5000000000001,3000.0,0.2
41.0,100,0,10,0.0,550.0,2682.5000000000005,0.0,2682.5000000000005,0.0,3000.0,1050.0,0.0,0.0,0.0,0.0,367.5000000000001,3000.0,0.2
42.0,100,0,10,0.0,550.0,2682.5000000000005,0.0,2682.5000000000005,0.0,3000.0,1050.0,0.0,0.0,0.0,0.0,367.5000000000001,3000.0,0.2
43.0,100,0,10,0.0,550.0,2682.5000000000005,0.0,2682.5000000000005,0.0,3000.0,1050.0,0.0,0.0,0.0,0.0,367.5000000000001,3000.0,0.2
44.0,100,0,10,0.0,550.0,2682.5000000000005,0.0,2682.5000000000005,0.0,3000.0,1050.0,0.0,0.0,0.0,0.0,367.5000000000001,3000.0,0.2
45.0,100,0,10,0.0,550.0,2682.5000000000005,0.0,2682.5000000000005,0.0,3000.0,1050.0,0.0,0.0,0.0,0.0,367.5000000000001,3000.0,0.2
46.0,100,0,10,0.0,550.0,2682.5000000000005,0.0,2682.5000000000005,0.0,3000.0,1050.0,0.0,0.0,0.0,0.0,367.5000000000001,3000.0,0.2
47.0,100,0,10,0.0,550.0,2682.5000000000005,0.0,2682.5000000000005,0.0,3000.0,1050.0,0.0,0.0,0.0,0.0,367.5000000000001,3000.0,0.2
48.0,100,0,10,0.0,550.0,2682.5000000000005,0.0,2682.5000000000005,0.0,3000.0,1050.0,0.0,0.0,0.0,0.0,367.5000000000001,3000.0,0.2
49.0,100,0,10,0.0,550.0,2682.5000000000005,0.0,2682.5000000000005,0.0,3000.0,1050.0,0.0,0.0,0.0,0.0,367.5000000000001,3000.0,0.2
50.0,100,0,10,0.0,550.0,2682.5000000000005,0.0,2682.5000000000005,0.0,3000.0,1050.0,0.0,0.0,0.0,0.0,367.5000000000001,3000.0,0.25
51.0,100,0,10,0.0,550.0,2682.5000000000005,0.0,2682.5000000000005,0.0,3000.0,1050.0,0.0,0.0,0.0,0.0,367.5000000000001,3000.0,0.25
52.0,100,0,10,0.0,550.0,2682.5000000000005,0.0,2682.5000000000005,0.0,3000.0,1050.0,0.0,0.0,0.0,0.0,367.5000000000001,3000.0,0.25
53.0,100,0,10,0.0,550.0,2682.5000000000005,0.0,2682.5000000000005,0.0,3000.0,1050.0,0.0,0.0,0.0,0.0,367.5000000000001,3000.0,0.25
54.0,100,0,10,0.0,550.0,2682.5000000000005,0.0,2682.5000000000005,0.0,3000.0,1050.0,0.0,0.0,0.0,0.0,367.5000000000001,3000.0,0.25
55.0,100,0,10,0.0,550.0,2682.5000000000005,0.0,2682.5000000000005,0.0,3000.0,1050.0,0.0,0.0,0.0,0.0,367.5000000000001,3000.0,0.25
56.0,100,0,10,0.0,550.0,2682.5000000000005,0.0,2682.5000000000005,0.0,3000.0,1050.0,0.0,0.0,0.0,0.0,367.5000000000001,3000.0,0.25
57.0,100,0,10,0.0,550.0,2682.5000000000005,0.0,2682.5000000000005,0.0,3000.0,1050.0,0.0,0.0,0.0,0.0,367.5000000000001,3000.0,0.25
58.0,100,0,10,0.0,550.0,2682.5000000000005,0.0,2682.5000000000005,0.0,3000.0,1050.0,0.0,0.0,0.0,0.0,367.5000000000001,3000.0,0.25
59.0,100,0,10,0.0,550.0,2682.5000000000005,0.0,2682.5000000000005,0.0,3000.0,1050.0,0.0,0.0,0.0,0.0,367.5000000000001,3000.0,0.25
60.0,100,0,10,0.0,550.0,2682.5000000000005,0.0,2682.5000000000005,0.0,3000.0,1050.0,0.0,0.0,0.0,0.0,367.5000000000001,3000.0,0.3
